DateOpen,DateClose,TradeOpen,TradeClose,NetIncome,Count,Type,Code
4.9.2025,8.9.2025,218.85,223.78,2.2,30,Bay,MTSS
8.9.2025,10.09.2025,4360.0,4352.5,-0.17,1,Bay,YDEX
8.9.2025,10.09.2025,3.21,3.225,0.47,1100,Bay,IRAO
11.09.2025,12.09.2025,129.2,125.38,2.96,50,Sell,GMKN
16.09.2025,18.09.2025,0.06738,0.06582,2.32,100000,Sell,FEES
23.09.2025,,3126.4,,,3,Buy,T
